,date,desc,amount,category
57,2022-09-23,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-5.93,Dining Out
58,2022-09-26,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-5.64,Dining Out
59,2022-09-26,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-11.29,Dining Out
60,2022-09-27,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-5.64,Dining Out
61,2022-09-27,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-7.06,Dining Out
62,2022-09-27,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-9.59,Dining Out
63,2022-09-28,EINSTEIN'S               LONDON       ON  (APPLE PAY) ,-6.33,Dining Out
64,2022-09-28,THE SPOKE                LONDON       ON  (APPLE PAY) ,-9.89,Dining Out
65,2022-09-29,TIM HORTONS #0694        LONDON       ON  (APPLE PAY) ,-8.45,Dining Out
66,2022-09-29,SQ *KATSU EXPRESS        London       ON  (APPLE PAY) ,-31.06,Dining Out
67,2022-09-29,RICHMOND STREET WAREHOUSELONDON       ON  (APPLE PAY) ,-40.15,Purchases
68,2022-09-30,UBER CANADA/UBERTRIP     TORONTO      ON ,-21.94,Transportation
69,2022-09-30,BARKING FROG             LONDON       ON  (APPLE PAY) ,-45.94,Dining Out
70,2022-10-01,UBER CANADA/UBERTRIP     TORONTO      ON ,-19.71,Transportation
72,2022-10-02,THE MASONVILLE KEG       LONDON       ON ,-170.68,Dining Out
73,2022-10-02,Amazon Web Services      www.amazon.caON ,-0.89,Dining Out
74,2022-10-03,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-8.98,Dining Out
76,2022-10-04,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-5.64,Dining Out
77,2022-10-04,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-8.17,Dining Out
78,2022-10-05,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-2.98,Dining Out
79,2022-10-06,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-5.64,Dining Out
80,2022-10-06,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-7.06,Dining Out
81,2022-10-06,BARKING FROG             LONDON       ON  (APPLE PAY) ,-9.19,Dining Out
82,2022-10-06,BARKING FROG             LONDON       ON  (APPLE PAY) ,-27.57,Dining Out
83,2022-10-07,STARBUCKS 04317          LONDON       ON  (APPLE PAY) ,-7.06,Dining Out
84,2022-10-07,HOT TOPIC #2517          LONDON       ON  (APPLE PAY) ,-20.34,Purchases
85,2022-10-08,DINEEN COFFEE CO         TORONTO      ON  (APPLE PAY) ,-10.38,Purchases
86,2022-10-08,UBER CANADA/UBERTRIP     TORONTO      ON ,-18.43,Transportation
87,2022-10-08,SUSHI ON RONCY           TORONTO      ON  (APPLE PAY) ,-33.01,Dining Out
88,2022-10-08,Chess.com Chess.com      800-3182827  CA ,-39.99,Dining Out
89,2022-10-08,APPLE STORE #R121        TORONTO      ON  (APPLE PAY) ,-190.97,Purchases
91,2022-10-09,PERO RESTAURANT AND LOUNGTORONTO      ON  (APPLE PAY) ,-24.0,Dining Out
92,2022-10-09, Chess.com Chess.com      800-3182827  CA ,39.99,Dining Out
93,2022-10-10,SUSHI ON RONCY           TORONTO      ON  (APPLE PAY) ,-35.88,Dining Out
94,2022-10-10,MABELS-RONCY             TORONTO      ON  (APPLE PAY) ,-4.06,Dining Out
95,2022-10-11,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.1,Dining Out
96,2022-10-11,COCA COLA LONDON ON      LONDON       ON ,-3.5,Dining Out
97,2022-10-11,PETROCAN-1181 WESTERN RD LONDON       ON  (APPLE PAY) ,-6.69,Purchases
98,2022-10-11,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-5.64,Dining Out
99,2022-10-11,UBER CANADA/UBERTRIP     TORONTO      ON ,-17.83,Transportation
100,2022-10-11,UBER CANADA/UBERTRIP     TORONTO      ON ,-21.35,Transportation
101,2022-10-11,LOBLAWS #27              LONDON       ON  (APPLE PAY) ,-45.82,Groceries
102,2022-10-12,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.1,Dining Out
103,2022-10-12,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-4.96,Dining Out
104,2022-10-12,Subway 17206             London       ON  (APPLE PAY) ,-10.16,Dining Out
105,2022-10-13,Uniqlo Canada Inc.       Toronto      ON ,-203.29,Purchases
106,2022-10-13,APPLE.COM/CA             800-676-2775 ON  (APPLE PAY) ,-190.97,Purchases
108,2022-10-14,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-9.59,Dining Out
109,2022-10-14,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-14.63,Dining Out
110,2022-10-14,BARAKATS                 LONDON       ON  (APPLE PAY) ,-16.94,Dining Out
111,2022-10-15,UBER* EATS               TORONTO      ON ,-23.72,Transportation
112,2022-10-15, APPLE.COM/CA             800-676-2775 ON ,190.97,Purchases
113,2022-10-16,UBER CANADA/UBERPASS     TORONTO      ON ,-11.29,Transportation
114,2022-10-16,UBER CANADA/UBERTRIP     TORONTO      ON ,-13.87,Transportation
115,2022-10-17,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-2.98,Dining Out
116,2022-10-17,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-10.16,Dining Out
118,2022-10-18,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-11.29,Dining Out
119,2022-10-18,Uniqlo Canada Inc.       Toronto      ON ,-203.29,Purchases
120,2022-10-19,CUPBOP PLUS              LONDON       ON  (APPLE PAY) ,-13.45,Dining Out
121,2022-10-20,HBA1 SWEATER ORDERS...   DOWNTOWN TOROON ,-74.16,Non-Routine
123,2022-10-21,UBER CANADA/UBEREATS     TORONTO      ON ,-32.15,Dining Out
124,2022-10-21,VIA RAIL CANADA INC.//   MONTREAL     QC ,-96.05,Non-Routine
125,2022-10-22,APPLE.COM/BILL           866-712-7753 ON ,-4.51,Purchases
126,2022-10-22,DOLLARAMA #1075          LONDON       ON  (APPLE PAY) ,-7.94,Dining Out
127,2022-10-22,AMZN Mktp CA*H833N56P0   WWW.AMAZON.CAON ,-15.81,Dining Out
128,2022-10-22,UBER CANADA/UBEREATS     TORONTO      ON ,-32.15,Dining Out
129,2022-10-23,UBER* TRIP               TORONTO      ON ,-11.87,Transportation
130,2022-10-23,UBER CANADA/UBERTRIP     TORONTO      ON ,-12.3,Transportation
131,2022-10-24,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-14.66,Dining Out
132,2022-10-24,HBA1 SWEATER ORDERS...   DOWNTOWN TOROON ,-74.16,Non-Routine
133,2022-10-25,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-7.29,Dining Out
135,2022-10-26,BURGER BURGER            LONDON       ON  (APPLE PAY) ,-16.82,Dining Out
136,2022-10-27,DOLLARAMA #1075          LONDON       ON  (APPLE PAY) ,-2.4,Dining Out
137,2022-10-27,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-4.15,Dining Out
138,2022-10-28,THE SPOKE                LONDON       ON  (APPLE PAY) ,-14.91,Dining Out
140,2022-10-28,LOS LOBOS                LONDON       ON  (APPLE PAY) ,-27.1,Dining Out
141,2022-10-29,I DEAL ON THE PARK       TORONTO      ON  (APPLE PAY) ,-5.28,Dining Out
142,2022-10-29,UBER* TRIP               TORONTO      ON ,-17.13,Transportation
143,2022-10-29,TONALITY RECORDS         TORONTO      ON  (APPLE PAY) ,-55.37,Purchases
144,2022-10-30,N15 STUDIO               TORONTO      ON  (APPLE PAY) ,-52.63,Purchases
145,2022-10-31,KINKA IZAKAYA BLOOR      TORONTO      ON  (APPLE PAY) ,-32.67,Dining Out
147,2022-11-03,ROSE AND CROWN           TORONTO      ON  (APPLE PAY) ,-25.04,Dining Out
148,2022-11-04,SQ *REUNION ISLAND COFFEEToronto      ON  (APPLE PAY) ,-6.75,Dining Out
149,2022-11-07, Uniqlo Canada Inc.       Toronto      ON ,203.29,Purchases
150,2022-11-07, Uniqlo Canada Inc.       Toronto      ON ,203.29,Purchases
151,2022-11-08,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-2.98,Dining Out
152,2022-11-08,CHATIME LONDON           LONDON       ON  (APPLE PAY) ,-18.76,Dining Out
153,2022-11-08,OZEN KOREA               LONDON       ON  (APPLE PAY) ,-35.06,Purchases
154,2022-11-09,OZEN                     LONDON       ON  (APPLE PAY) ,-31.36,Purchases
155,2022-11-10,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-8.85,Dining Out
156,2022-11-10,LOBLAWS #27              LONDON       ON  (APPLE PAY) ,-84.04,Groceries
157,2022-11-12,BLACK WALNUT BAKERY CAFE LONDON       ON  (APPLE PAY) ,-11.42,Dining Out
158,2022-11-14,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-4.15,Dining Out
159,2022-11-14,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-5.64,Dining Out
160,2022-11-14,FAMOUS PLAYER 7422QPS    LONDON       ON  (APPLE PAY) ,-6.88,Dining Out
161,2022-11-15,UBER CANADA/UBERPASS     TORONTO      ON ,-11.29,Transportation
162,2022-11-16,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-2.98,Dining Out
163,2022-11-16,APPLE.COM/BILL           866-712-7753 ON ,-11.85,Purchases
164,2022-11-17,MACS SUSHI               LONDON       ON  (APPLE PAY) ,-19.2,Dining Out
165,2022-11-17,THE WAVE                 LONDON       ON  (APPLE PAY) ,-33.12,Dining Out
166,2022-11-18,MCDONALD'S #25032  QPS   BEAMSVILLE   ON  (APPLE PAY) ,-14.45,Dining Out
167,2022-11-19,BEAVERTAILS NIAGARA FALLSNIAGARA FALLSON  (APPLE PAY) ,-7.35,Dining Out
168,2022-11-19,GHOST BLASTERS           NIAGARA FALLSON  (APPLE PAY) ,-5.64,Non-Routine
169,2022-11-19,WIZARDS' GOLF            NIAGARA FALLSON  (APPLE PAY) ,-12.42,Non-Routine
170,2022-11-19,COUNTRY CHALET           NIAGARA FALLSON  (APPLE PAY) ,-23.79,Dining Out
171,2022-11-20,TIM HORTONS #1846        NIAGARA ON LKON  (APPLE PAY) ,-17.08,Dining Out
172,2022-11-20,TURTLEJACK'S MUSKOKA G   NIAGARA FALLSON  (APPLE PAY) ,-39.37,Dining Out
173,2022-11-21,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.1,Dining Out
174,2022-11-21,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-9.59,Dining Out
175,2022-11-22,APPLE.COM/BILL           866-712-7753 ON ,-4.51,Purchases
176,2022-11-22,LOBLAWS #27              LONDON       ON  (APPLE PAY) ,-129.14,Groceries
177,2022-11-23,Amazon.ca*HI7QX77Q2      AMAZON.CA    ON ,-7.62,Dining Out
178,2022-11-24,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.1,Dining Out
179,2022-11-24,DELLAH'S RESTAURANT AND LLONDON       ON  (APPLE PAY) ,-36.75,Partying
180,2022-11-25,UBER CANADA/UBERTRIP     TORONTO      ON ,-12.62,Transportation
181,2022-11-25,CEEPS/ BARNEY'S          LONDON       ON  (APPLE PAY) ,-14.95,Partying
182,2022-11-25,CEEPS/ BARNEY'S          LONDON       ON  (APPLE PAY) ,-26.45,Partying
183,2022-11-26,LOBLAWS #27              LONDON       ON  (APPLE PAY) ,-8.87,Groceries
184,2022-11-26,UBER* TRIP               TORONTO      ON ,-20.0,Transportation
185,2022-11-26,LCBO/RAO #0393           LONDON       ON  (APPLE PAY) ,-27.45,Partying
187,2022-11-27,OMZZY'S SHWARMA          LONDON       ON  (APPLE PAY) ,-10.5,Dining Out
188,2022-11-28,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.1,Dining Out
189,2022-11-29,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.1,Dining Out
190,2022-11-29,BOMBAY BISTRO            LONDON       ON  (APPLE PAY) ,-35.38,Dining Out
191,2022-11-29,Amazon.ca*HB3WO19P3      AMAZON.CA    ON ,-19.3,Dining Out
192,2022-11-30,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.1,Dining Out
193,2022-11-30,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-4.96,Dining Out
194,2022-11-30,FOOD ISLAND SUPERMARKE   LONDON       ON  (APPLE PAY) ,-30.48,Dining Out
195,2022-11-30,UBER CANADA/UBEREATS     TORONTO      ON ,-35.73,Dining Out
196,2022-12-01,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-6.38,Dining Out
197,2022-12-01,DELLAH'S RESTAURANT AND LLONDON       ON  (APPLE PAY) ,-5.0,Partying
198,2022-12-01,UBER CANADA/UBERTRIP     TORONTO      ON  (APPLE PAY) ,-14.45,Transportation
199,2022-12-01,DELLAH'S RESTAURANT AND LLONDON       ON  (APPLE PAY) ,-18.38,Partying
200,2022-12-01,DELLAH'S RESTAURANT AND LLONDON       ON  (APPLE PAY) ,-18.38,Partying
201,2022-12-01,DELLAH'S RESTAURANT AND LLONDON       ON  (APPLE PAY) ,-18.38,Partying
203,2022-12-02,QUYNH NHI VIETNAMESE RESTLONDON       ON  (APPLE PAY) ,-31.19,Dining Out
204,2022-12-04,SOBEYS #4748             LONDON       ON  (APPLE PAY) ,-55.71,Groceries
205,2022-12-05,APPLE.COM/BILL           866-712-7753 ON ,-14.68,Purchases
206,2022-12-05,LOBLAWS #27              LONDON       ON  (APPLE PAY) ,-24.56,Groceries
207,2022-12-05,LCBO/RAO #0393           LONDON       ON  (APPLE PAY) ,-32.45,Partying
208,2022-12-05,UBER CANADA/UBERTRIP     TORONTO      ON ,-112.34,Transportation
210,2022-12-07,APPLE.COM/BILL           866-712-7753 ON ,-14.68,Purchases
211,2022-12-07,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-17.8,Dining Out
212,2022-12-10,THE SPOKE                LONDON       ON  (APPLE PAY) ,-2.49,Dining Out
213,2022-12-10,AMZN Mktp CA*G50L424A3   WWW.AMAZON.CAON ,-28.19,Dining Out
214,2022-12-11,THE SPOKE                LONDON       ON  (APPLE PAY) ,-12.42,Dining Out
215,2022-12-11,SUBWAY                   LONDON       ON  (APPLE PAY) ,-12.75,Dining Out
216,2022-12-12,UBER CANADA/UBEREATS     TORONTO      ON ,-19.02,Dining Out
218,2022-12-14,CORA ADELAIDE  483       LONDON       ON  (APPLE PAY) ,-25.35,Non-Routine
220,2022-12-15,UBER CANADA/UBERPASS     TORONTO      ON ,-11.29,Transportation
221,2022-12-15,APPLE.COM/BILL           866-712-7753 ON ,-11.85,Purchases
222,2022-12-17,APPLE.COM/BILL           866-712-7753 ON ,-11.29,Purchases
223,2022-12-17,SP PEACE COLLECTIVE      VAUGHAN      ON ,-190.32,Purchases
224,2022-12-18,APPLE.COM/BILL           866-712-7753 ON ,-4.51,Purchases
226,2022-12-20,GONG CHA EATONS          TORONTO      ON  (APPLE PAY) ,-8.02,Dining Out
227,2022-12-20,SANSOTEI RAMEN EATON CEN TORONTO      ON  (APPLE PAY) ,-20.25,Dining Out
228,2022-12-20,Uniqlo Canada            Toronto      ON  (APPLE PAY) ,-56.5,Purchases
229,2022-12-22,WILD HEART CAFE          TORONTO      ON  (APPLE PAY) ,-3.39,Dining Out
230,2022-12-22,APPLE.COM/BILL           866-712-7753 ON ,-4.51,Purchases
231,2022-12-22,KINKA IZAKAYA BLOOR      TORONTO      ON  (APPLE PAY) ,-39.33,Dining Out
232,2022-12-22,TOKYO SMOKE              TORONTO      ON  (APPLE PAY) ,-16.95,Dining Out
233,2022-12-22,THE MERCANTILE           TORONTO      ON  (APPLE PAY) ,-47.97,Dining Out
234,2022-12-23,POPEYES #11326           TORONTO      ON  (APPLE PAY) ,-8.46,Dining Out
235,2022-12-24,VIA RAIL CANADA INC.//   MONTREAL     QC ,-350.3,Non-Routine
236,2022-12-24, VIA RAIL CANADA INC.//   MONTREAL     QC ,350.3,Non-Routine
238,2022-12-27,UBER CANADA/UBERTRIP     TORONTO      ON ,-23.46,Transportation
239,2022-12-27,RONCESVALLES DENTAL CENTRTORONTO      ON  (APPLE PAY) ,-217.0,Medical
240,2022-12-28,MCDONALD'S #10007        TORONTO      ON  (APPLE PAY) ,-12.98,Dining Out
242,2022-12-29,EVENTBRITE/RINGITIN202   SAINT JOHN   NB  (APPLE PAY) ,-27.54,Purchases
243,2022-12-29,EVENTBRITE/RINGITIN202   SAINT JOHN   NB  (APPLE PAY) ,-27.54,Purchases
244,2022-12-30,APPLE.COM/BILL           866-712-7753 ON ,-7.9,Purchases
245,2022-12-31,STEAM PURCHASE           SEATTLE ,-17.24,Partying
246,2022-12-31,KINKA IZAKAYA BLOOR      TORONTO      ON  (APPLE PAY) ,-38.67,Dining Out
247,2023-01-02,Uniqlo Canada            Toronto      ON  (APPLE PAY) ,-90.07,Purchases
248,2023-01-05,APPLE.COM/BILL           866-712-7753 ON ,-14.68,Purchases
249,2023-01-06,UBER CANADA/UBERTRIP     TORONTO      ON ,-12.56,Transportation
250,2023-01-07,TIM HORTONS #2892        ETOBICOKE    ON  (APPLE PAY) ,-5.66,Dining Out
251,2023-01-07,PRESTO DUNDAS WEST RELOADTORONTO      ON  (APPLE PAY) ,-50.0,Transportation
252,2023-01-08,CHUCKS ROADHOUSE BAR & GRLONDON       ON  (APPLE PAY) ,-24.62,Partying
253,2023-01-08,SOBEYS #4748             LONDON       ON  (APPLE PAY) ,-47.51,Groceries
254,2023-01-08,APPLE.COM/BILL           866-712-7753 ON ,-14.68,Purchases
255,2023-01-08,WINNERS 278              ETOBICOKE    ON  (APPLE PAY) ,-18.05,Purchases
256,2023-01-09,APPLE.COM/BILL           866-712-7753 ON ,-11.29,Purchases
257,2023-01-10,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-5.93,Dining Out
258,2023-01-12,THE SPOKE                LONDON       ON  (APPLE PAY) ,-6.77,Dining Out
259,2023-01-12,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.1,Dining Out
260,2023-01-12,THE SPOKE                LONDON       ON  (APPLE PAY) ,-29.7,Dining Out
261,2023-01-12,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-5.93,Dining Out
262,2023-01-13,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-6.38,Dining Out
263,2023-01-13,LCBO/RAO #0393           LONDON       ON  (APPLE PAY) ,-9.6,Partying
264,2023-01-13,LOST LOVE                LONDON       ON  (APPLE PAY) ,-15.0,Partying
265,2023-01-13,KOYA JAPAN (MASONVILLE PLLONDON       ON  (APPLE PAY) ,-20.91,Dining Out
266,2023-01-13,LOST LOVE                LONDON       ON  (APPLE PAY) ,-34.0,Partying
267,2023-01-13,LCBO/RAO #0393           LONDON       ON  (APPLE PAY) ,-67.9,Partying
268,2023-01-14,APPLE.COM/BILL           866-712-7753 ON ,-4.51,Purchases
269,2023-01-14,UBER CANADA/UBERTRIP     TORONTO      ON ,-5.65,Transportation
270,2023-01-14,U NEED A CAB LTD         LONDON       ON  (APPLE PAY) ,-14.5,Transportation
272,2023-01-15,UBER* PASS               TORONTO      ON ,-11.29,Transportation
273,2023-01-16,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.1,Dining Out
274,2023-01-17,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-8.41,Dining Out
275,2023-01-17,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-11.29,Dining Out
277,2023-01-18,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-1.19,Dining Out
278,2023-01-18,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.1,Dining Out
279,2023-01-18,APPLE.COM/BILL           866-712-7753 ON ,-4.51,Purchases
280,2023-01-19,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.1,Dining Out
281,2023-01-19,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-5.93,Dining Out
282,2023-01-19,THE SPOKE                LONDON       ON  (APPLE PAY) ,-8.77,Dining Out
283,2023-01-19,THE SPOKE                LONDON       ON  (APPLE PAY) ,-29.7,Dining Out
284,2023-01-20,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-4.19,Dining Out
285,2023-01-22,CHATIME LONDON           LONDON       ON  (APPLE PAY) ,-7.68,Dining Out
286,2023-01-22,EAST SIDE MARIOS #8702   LONDON       ON  (APPLE PAY) ,-37.67,Dining Out
287,2023-01-22,CONGEE CHAN              LONDON       ON ,-93.54,Dining Out
288,2023-01-23,APPLE.COM/BILL           866-712-7753 ON ,-4.51,Purchases
289,2023-01-24,UBER CANADA/UBEREATS     TORONTO      ON ,-21.8,Dining Out
290,2023-01-24,VIA RAIL CANADA INC.//   MONTREAL     QC ,-81.36,Non-Routine
292,2023-01-24,APPLE.COM/BILL           866-712-7753 ON ,-3.15,Purchases
293,2023-01-24,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-11.87,Dining Out
294,2023-01-24,VIA RAIL CANADA INC.//   MONTREAL     QC ,-100.57,Non-Routine
295,2023-01-24,VIA RAIL CANADA INC.//   MONTREAL     QC ,-154.81,Non-Routine
296,2023-01-24, VIA RAIL CANADA INC.//   MONTREAL     QC ,154.81,Non-Routine
298,2023-01-25,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-5.07,Dining Out
299,2023-01-26,UBER CANADA/UBERTRIP     TORONTO      ON  (APPLE PAY) ,-15.31,Transportation
302,2023-01-27,APOLLO OPTICAL           TORONTO      ON ,-440.0,Medical
303,2023-01-27,Eyes On Sheppard         NORTH YORK   ON ,-629.0,Medical
304,2023-01-28,VIA RAIL CANADA INC.//   MONTREAL     QC ,-120.91,Non-Routine
305,2023-01-29,UBER CANADA/UBERTRIP     TORONTO      ON  (APPLE PAY) ,-1.0,Transportation
306,2023-01-29,FANTAIL BAKERY CAFE      TORONTO      ON  (APPLE PAY) ,-7.01,Dining Out
